material,structure,test_type,parameter,energy_total,energy_per_atom,path,functional
BP,zb,kpt,k10x10x10,-14.38958532,-7.19479266,./convergence_tests_LDA/BP/conv_kpt/k10x10x10,LDA
BP,zb,kpt,k12x12x12,-14.38985811,-7.194929055,./convergence_tests_LDA/BP/conv_kpt/k12x12x12,LDA
BP,zb,kpt,k4x4x4,-14.21615178,-7.10807589,./convergence_tests_LDA/BP/conv_kpt/k4x4x4,LDA
BP,zb,kpt,k6x6x6,-14.37215682,-7.18607841,./convergence_tests_LDA/BP/conv_kpt/k6x6x6,LDA
BP,zb,kpt,k8x8x8,-14.38765966,-7.19382983,./convergence_tests_LDA/BP/conv_kpt/k8x8x8,LDA
BSb,zb,encut,E300,-11.48897304,-5.74448652,./convergence_tests_LDA/BSb/conv_cutoff/E300,LDA
BSb,zb,encut,E400,-11.49867971,-5.749339855,./convergence_tests_LDA/BSb/conv_cutoff/E400,LDA
BSb,zb,encut,E500,-11.4988465,-5.74942325,./convergence_tests_LDA/BSb/conv_cutoff/E500,LDA
BSb,zb,encut,E600,-11.49975588,-5.74987794,./convergence_tests_LDA/BSb/conv_cutoff/E600,LDA
BSb,zb,encut,E700,-11.50012341,-5.750061705,./convergence_tests_LDA/BSb/conv_cutoff/E700,LDA
BSb,zb,kpt,k10x10x10,-11.50138603,-5.750693015,./convergence_tests_LDA/BSb/conv_kpt/k10x10x10,LDA
BSb,zb,kpt,k12x12x12,-11.50181818,-5.75090909,./convergence_tests_LDA/BSb/conv_kpt/k12x12x12,LDA
BSb,zb,kpt,k4x4x4,-11.32898718,-5.66449359,./convergence_tests_LDA/BSb/conv_kpt/k4x4x4,LDA
BSb,zb,kpt,k6x6x6,-11.48159605,-5.740798025,./convergence_tests_LDA/BSb/conv_kpt/k6x6x6,LDA
BSb,zb,kpt,k8x8x8,-11.4988465,-5.74942325,./convergence_tests_LDA/BSb/conv_kpt/k8x8x8,LDA
GaAs,zb,encut,E300,-9.58658854,-4.79329427,./convergence_tests_LDA/GaAs/conv_cutoff/E300,LDA
GaAs,zb,encut,E400,-9.58440698,-4.79220349,./convergence_tests_LDA/GaAs/conv_cutoff/E400,LDA
GaAs,zb,encut,E500,-9.58494869,-4.792474345,./convergence_tests_LDA/GaAs/conv_cutoff/E500,LDA
GaAs,zb,encut,E600,-9.58486949,-4.792434745,./convergence_tests_LDA/GaAs/conv_cutoff/E600,LDA
GaAs,zb,encut,E700,-9.58492862,-4.79246431,./convergence_tests_LDA/GaAs/conv_cutoff/E700,LDA
GaAs,zb,kpt,k10x10x10,-9.58950113,-4.794750565,./convergence_tests_LDA/GaAs/conv_kpt/k10x10x10,LDA
GaAs,zb,kpt,k12x12x12,-9.59071681,-4.795358405,./convergence_tests_LDA/GaAs/conv_kpt/k12x12x12,LDA
GaAs,zb,kpt,k4x4x4,-9.40395176,-4.70197588,./convergence_tests_LDA/GaAs/conv_kpt/k4x4x4,LDA
GaAs,zb,kpt,k6x6x6,-9.5627571,-4.78137855,./convergence_tests_LDA/GaAs/conv_kpt/k6x6x6,LDA
GaAs,zb,kpt,k8x8x8,-9.58494869,-4.792474345,./convergence_tests_LDA/GaAs/conv_kpt/k8x8x8,LDA
GaN,zb,encut,E300,-13.94559729,-6.972798645,./convergence_tests_LDA/GaN/conv_cutoff/E300,LDA
GaN,zb,encut,E400,-13.93382012,-6.96691006,./convergence_tests_LDA/GaN/conv_cutoff/E400,LDA
GaN,zb,encut,E500,-13.93322151,-6.966610755,./convergence_tests_LDA/GaN/conv_cutoff/E500,LDA
GaN,zb,encut,E600,-13.93334107,-6.966670535,./convergence_tests_LDA/GaN/conv_cutoff/E600,LDA
GaN,zb,encut,E700,-13.93506615,-6.967533075,./convergence_tests_LDA/GaN/conv_cutoff/E700,LDA
GaN,zb,kpt,k10x10x10,-13.93322151,-6.966610755,./convergence_tests_LDA/GaN/conv_kpt/k10x10x10,LDA
GaN,zb,kpt,k12x12x12,-13.93330852,-6.96665426,./convergence_tests_LDA/GaN/conv_kpt/k12x12x12,LDA
GaN,zb,kpt,k4x4x4,-13.86788081,-6.933940405,./convergence_tests_LDA/GaN/conv_kpt/k4x4x4,LDA
GaN,zb,kpt,k6x6x6,-13.92855315,-6.964276575,./convergence_tests_LDA/GaN/conv_kpt/k6x6x6,LDA
GaN,zb,kpt,k8x8x8,-13.93279314,-6.96639657,./convergence_tests_LDA/GaN/conv_kpt/k8x8x8,LDA
GaP,zb,encut,E300,-10.44073215,-5.220366075,./convergence_tests_LDA/GaP/conv_cutoff/E300,LDA
GaP,zb,encut,E400,-10.43902338,-5.21951169,./convergence_tests_LDA/GaP/conv_cutoff/E400,LDA
GaP,zb,encut,E500,-10.43972261,-5.219861305,./convergence_tests_LDA/GaP/conv_cutoff/E500,LDA
GaP,zb,encut,E600,-10.43985096,-5.21992548,./convergence_tests_LDA/GaP/conv_cutoff/E600,LDA
GaP,zb,encut,E700,-10.4399627,-5.21998135,./convergence_tests_LDA/GaP/conv_cutoff/E700,LDA
GaP,zb,kpt,k10x10x10,-10.44206759,-5.221033795,./convergence_tests_LDA/GaP/conv_kpt/k10x10x10,LDA
GaP,zb,kpt,k12x12x12,-10.44250207,-5.221251035,./convergence_tests_LDA/GaP/conv_kpt/k12x12x12,LDA
GaP,zb,kpt,k4x4x4,-10.28861352,-5.14430676,./convergence_tests_LDA/GaP/conv_kpt/k4x4x4,LDA
GaP,zb,kpt,k6x6x6,-10.4243644,-5.2121822,./convergence_tests_LDA/GaP/conv_kpt/k6x6x6,LDA
GaP,zb,kpt,k8x8x8,-10.43972261,-5.219861305,./convergence_tests_LDA/GaP/conv_kpt/k8x8x8,LDA
GaSb,zb,encut,E300,-8.64641702,-4.32320851,./convergence_tests_LDA/GaSb/conv_cutoff/E300,LDA
GaSb,zb,encut,E400,-8.64333176,-4.32166588,./convergence_tests_LDA/GaSb/conv_cutoff/E400,LDA
GaSb,zb,encut,E500,-8.64395319,-4.321976595,./convergence_tests_LDA/GaSb/conv_cutoff/E500,LDA
GaSb,zb,encut,E600,-8.6439144,-4.3219572,./convergence_tests_LDA/GaSb/conv_cutoff/E600,LDA
GaSb,zb,encut,E700,-8.64395713,-4.321978565,./convergence_tests_LDA/GaSb/conv_cutoff/E700,LDA
GaSb,zb,kpt,k10x10x10,-8.65759829,-4.328799145,./convergence_tests_LDA/GaSb/conv_kpt/k10x10x10,LDA
GaSb,zb,kpt,k12x12x12,-8.65921238,-4.32960619,./convergence_tests_LDA/GaSb/conv_kpt/k12x12x12,LDA
GaSb,zb,kpt,k4x4x4,-8.45648594,-4.22824297,./convergence_tests_LDA/GaSb/conv_kpt/k4x4x4,LDA
GaSb,zb,kpt,k6x6x6,-8.62605152,-4.31302576,./convergence_tests_LDA/GaSb/conv_kpt/k6x6x6,LDA
GaSb,zb,kpt,k8x8x8,-8.65187607,-4.325938035,./convergence_tests_LDA/GaSb/conv_kpt/k8x8x8,LDA
InAs,zb,encut,E300,-9.00692907,-4.503464535,./convergence_tests_LDA/InAs/conv_cutoff/E300,LDA
InAs,zb,encut,E400,-9.00749628,-4.50374814,./convergence_tests_LDA/InAs/conv_cutoff/E400,LDA
InAs,zb,encut,E500,-9.00759804,-4.50379902,./convergence_tests_LDA/InAs/conv_cutoff/E500,LDA
InAs,zb,encut,E600,-9.00761916,-4.50380958,./convergence_tests_LDA/InAs/conv_cutoff/E600,LDA
InAs,zb,encut,E700,-9.00766052,-4.50383026,./convergence_tests_LDA/InAs/conv_cutoff/E700,LDA
InAs,zb,kpt,k10x10x10,-9.01541222,-4.50770611,./convergence_tests_LDA/InAs/conv_kpt/k10x10x10,LDA
InAs,zb,kpt,k12x12x12,-9.01621023,-4.508105115,./convergence_tests_LDA/InAs/conv_kpt/k12x12x12,LDA
InAs,zb,kpt,k4x4x4,-8.87628117,-4.438140585,./convergence_tests_LDA/InAs/conv_kpt/k4x4x4,LDA
InAs,zb,kpt,k6x6x6,-8.99633424,-4.49816712,./convergence_tests_LDA/InAs/conv_kpt/k6x6x6,LDA
InAs,zb,kpt,k8x8x8,-9.01227774,-4.50613887,./convergence_tests_LDA/InAs/conv_kpt/k8x8x8,LDA
InN,zb,encut,E300,-12.31428666,-6.15714333,./convergence_tests_LDA/InN/conv_cutoff/E300,LDA
InN,zb,encut,E400,-12.33175365,-6.165876825,./convergence_tests_LDA/InN/conv_cutoff/E400,LDA
InN,zb,encut,E500,-12.32979869,-6.164899345,./convergence_tests_LDA/InN/conv_cutoff/E500,LDA
InN,zb,encut,E600,-12.32971371,-6.164856855,./convergence_tests_LDA/InN/conv_cutoff/E600,LDA
InN,zb,encut,E700,-12.33151942,-6.16575971,./convergence_tests_LDA/InN/conv_cutoff/E700,LDA
InN,zb,kpt,k10x10x10,-12.33006513,-6.165032565,./convergence_tests_LDA/InN/conv_kpt/k10x10x10,LDA
InN,zb,kpt,k12x12x12,-12.33026197,-6.165130985,./convergence_tests_LDA/InN/conv_kpt/k12x12x12,LDA
InN,zb,kpt,k4x4x4,-12.27083861,-6.135419305,./convergence_tests_LDA/InN/conv_kpt/k4x4x4,LDA
InN,zb,kpt,k6x6x6,-12.32426265,-6.162131325,./convergence_tests_LDA/InN/conv_kpt/k6x6x6,LDA
InN,zb,kpt,k8x8x8,-12.32921344,-6.16460672,./convergence_tests_LDA/InN/conv_kpt/k8x8x8,LDA
InP,zb,encut,E300,-9.65067584,-4.82533792,./convergence_tests_LDA/InP/conv_cutoff/E300,LDA
InP,zb,encut,E400,-9.6529056,-4.8264528,./convergence_tests_LDA/InP/conv_cutoff/E400,LDA
InP,zb,encut,E500,-9.65298272,-4.82649136,./convergence_tests_LDA/InP/conv_cutoff/E500,LDA
InP,zb,encut,E600,-9.65306291,-4.826531455,./convergence_tests_LDA/InP/conv_cutoff/E600,LDA
InP,zb,encut,E700,-9.65312413,-4.826562065,./convergence_tests_LDA/InP/conv_cutoff/E700,LDA
InP,zb,kpt,k10x10x10,-9.65860446,-4.82930223,./convergence_tests_LDA/InP/conv_kpt/k10x10x10,LDA
InP,zb,kpt,k12x12x12,-9.65910247,-4.829551235,./convergence_tests_LDA/InP/conv_kpt/k12x12x12,LDA
InP,zb,kpt,k4x4x4,-9.53755976,-4.76877988,./convergence_tests_LDA/InP/conv_kpt/k4x4x4,LDA
InP,zb,kpt,k6x6x6,-9.64403052,-4.82201526,./convergence_tests_LDA/InP/conv_kpt/k6x6x6,LDA
InP,zb,kpt,k8x8x8,-9.65645055,-4.828225275,./convergence_tests_LDA/InP/conv_kpt/k8x8x8,LDA
InSb,zb,encut,E300,-8.13372822,-4.06686411,./convergence_tests_LDA/InSb/conv_cutoff/E300,LDA
InSb,zb,encut,E400,-8.13377004,-4.06688502,./convergence_tests_LDA/InSb/conv_cutoff/E400,LDA
InSb,zb,encut,E500,-8.13379542,-4.06689771,./convergence_tests_LDA/InSb/conv_cutoff/E500,LDA
InSb,zb,encut,E600,-8.13375311,-4.066876555,./convergence_tests_LDA/InSb/conv_cutoff/E600,LDA
InSb,zb,encut,E700,-8.13382329,-4.066911645,./convergence_tests_LDA/InSb/conv_cutoff/E700,LDA
InSb,zb,kpt,k10x10x10,-8.15540111,-4.077700555,./convergence_tests_LDA/InSb/conv_kpt/k10x10x10,LDA
InSb,zb,kpt,k12x12x12,-8.15646776,-4.07823388,./convergence_tests_LDA/InSb/conv_kpt/k12x12x12,LDA
InSb,zb,kpt,k4x4x4,-8.01265583,-4.006327915,./convergence_tests_LDA/InSb/conv_kpt/k4x4x4,LDA
InSb,zb,kpt,k6x6x6,-8.13379542,-4.06689771,./convergence_tests_LDA/InSb/conv_kpt/k6x6x6,LDA
InSb,zb,kpt,k8x8x8,-8.15155492,-4.07577746,./convergence_tests_LDA/InSb/conv_kpt/k8x8x8,LDA
